"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","TAVG"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-01",,,,,"1.52","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-02",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-03",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-04",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-05",,,,,"0.03","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-06",,,,,"0.01","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-07",,,,,"0.17","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-08",,,,,"1.25","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-09",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-10",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-11",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-12",,,,,"0.01","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-13",,,,,"0.06","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-14",,,,,"0.09","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-15",,,,,"0.06","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-16",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-17",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-18",,,,,"0.09","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-19",,,,,"0.09","0.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-20",,,,,"0.01","0.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-21",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-22",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-23",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-24",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-25",,,,,"0.01","0.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-26",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-27",,,,,"0.01","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-28",,,,,"0.05","0.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-29",,,,,"0.01","0.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-30",,,,,"0.10","1.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01-31",,,,,"0.06","0.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-02-01",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-02-02",,,,,"0.23","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-02-03",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-02-04",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-02-05",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-02-06",,,,,"0.00","0.0",
